"id","dt","isworkday","isholiday"
462,2021-04-06 00:00:00.000,true,false
463,2021-04-07 00:00:00.000,true,false
464,2021-04-08 00:00:00.000,true,false
465,2021-04-09 00:00:00.000,true,false
466,2021-04-10 00:00:00.000,false,false
467,2021-04-11 00:00:00.000,false,false
468,2021-04-12 00:00:00.000,true,false
469,2021-04-13 00:00:00.000,true,false
470,2021-04-14 00:00:00.000,true,false
471,2021-04-15 00:00:00.000,true,false
472,2021-04-16 00:00:00.000,true,false
473,2021-04-17 00:00:00.000,false,false
474,2021-04-18 00:00:00.000,false,false
475,2021-04-19 00:00:00.000,true,false
476,2021-04-20 00:00:00.000,true,false
477,2021-04-21 00:00:00.000,true,false
478,2021-04-22 00:00:00.000,true,false
479,2021-04-23 00:00:00.000,true,false
480,2021-04-24 00:00:00.000,false,false
481,2021-04-25 00:00:00.000,false,false
482,2021-04-26 00:00:00.000,true,false
483,2021-04-27 00:00:00.000,true,false
484,2021-04-28 00:00:00.000,true,false
485,2021-04-29 00:00:00.000,true,false
486,2021-04-30 00:00:00.000,true,false
487,2021-05-01 00:00:00.000,false,true
488,2021-05-02 00:00:00.000,false,false
489,2021-05-03 00:00:00.000,true,false
490,2021-05-04 00:00:00.000,true,false
491,2021-05-05 00:00:00.000,true,false
492,2021-05-06 00:00:00.000,true,false
493,2021-05-07 00:00:00.000,true,false
494,2021-05-08 00:00:00.000,false,false
495,2021-05-09 00:00:00.000,false,true
496,2021-05-10 00:00:00.000,true,false
497,2021-05-11 00:00:00.000,true,false
498,2021-05-12 00:00:00.000,true,false
499,2021-05-13 00:00:00.000,true,false
500,2021-05-14 00:00:00.000,true,false
501,2021-05-15 00:00:00.000,false,false
502,2021-05-16 00:00:00.000,false,false
503,2021-05-17 00:00:00.000,true,false
504,2021-05-18 00:00:00.000,true,false
505,2021-05-19 00:00:00.000,true,false
506,2021-05-20 00:00:00.000,true,false
507,2021-05-21 00:00:00.000,true,false
508,2021-05-22 00:00:00.000,false,false
509,2021-05-23 00:00:00.000,false,false
510,2021-05-24 00:00:00.000,true,false
511,2021-05-25 00:00:00.000,true,false
512,2021-05-26 00:00:00.000,true,false
513,2021-05-27 00:00:00.000,true,false
514,2021-05-28 00:00:00.000,true,false
515,2021-05-29 00:00:00.000,false,false
516,2021-05-30 00:00:00.000,false,false
517,2021-05-31 00:00:00.000,true,false
518,2021-06-01 00:00:00.000,true,false
519,2021-06-02 00:00:00.000,true,false
520,2021-06-03 00:00:00.000,true,false
521,2021-06-04 00:00:00.000,true,false
522,2021-06-05 00:00:00.000,false,false
523,2021-06-06 00:00:00.000,false,false
524,2021-06-07 00:00:00.000,true,false
525,2021-06-08 00:00:00.000,true,false
526,2021-06-09 00:00:00.000,true,false
527,2021-06-10 00:00:00.000,true,false
528,2021-06-11 00:00:00.000,true,false
529,2021-06-12 00:00:00.000,false,true
530,2021-06-13 00:00:00.000,false,false
531,2021-06-14 00:00:00.000,true,false
532,2021-06-15 00:00:00.000,true,false
533,2021-06-16 00:00:00.000,true,false
534,2021-06-17 00:00:00.000,true,false
535,2021-06-18 00:00:00.000,true,false
536,2021-06-19 00:00:00.000,false,false
537,2021-06-20 00:00:00.000,false,false
538,2021-06-21 00:00:00.000,true,false
539,2021-06-22 00:00:00.000,true,false
540,2021-06-23 00:00:00.000,true,false
541,2021-06-24 00:00:00.000,true,false
542,2021-06-25 00:00:00.000,true,false
543,2021-06-26 00:00:00.000,false,false
544,2021-06-27 00:00:00.000,false,false
545,2021-06-28 00:00:00.000,true,false
546,2021-06-29 00:00:00.000,true,false
547,2021-06-30 00:00:00.000,true,false
548,2021-07-01 00:00:00.000,true,false
549,2021-07-02 00:00:00.000,true,false
550,2021-07-03 00:00:00.000,false,false
551,2021-07-04 00:00:00.000,false,false
552,2021-07-05 00:00:00.000,true,false
553,2021-07-06 00:00:00.000,true,false
554,2021-07-07 00:00:00.000,true,false
555,2021-07-08 00:00:00.000,true,false
556,2021-07-09 00:00:00.000,true,false
557,2021-07-10 00:00:00.000,false,false
558,2021-07-11 00:00:00.000,false,false
559,2021-07-12 00:00:00.000,true,false
560,2021-07-13 00:00:00.000,true,false
561,2021-07-14 00:00:00.000,true,false
562,2021-07-15 00:00:00.000,true,false
563,2021-07-16 00:00:00.000,true,false
564,2021-07-17 00:00:00.000,false,false
565,2021-07-18 00:00:00.000,false,false
566,2021-07-19 00:00:00.000,true,false
567,2021-07-20 00:00:00.000,true,false
568,2021-07-21 00:00:00.000,true,false
569,2021-07-22 00:00:00.000,true,false
570,2021-07-23 00:00:00.000,true,false
571,2021-07-24 00:00:00.000,false,false
572,2021-07-25 00:00:00.000,false,false
573,2021-07-26 00:00:00.000,true,false
574,2021-07-27 00:00:00.000,true,false
575,2021-07-28 00:00:00.000,true,false
576,2021-07-29 00:00:00.000,true,false
577,2021-07-30 00:00:00.000,true,false
578,2021-07-31 00:00:00.000,false,false
579,2021-08-01 00:00:00.000,false,false
580,2021-08-02 00:00:00.000,true,false
581,2021-08-03 00:00:00.000,true,false
582,2021-08-04 00:00:00.000,true,false
583,2021-08-05 00:00:00.000,true,false
584,2021-08-06 00:00:00.000,true,false
585,2021-08-07 00:00:00.000,false,false
586,2021-08-08 00:00:00.000,false,false
587,2021-08-09 00:00:00.000,true,false
588,2021-08-10 00:00:00.000,true,false
589,2021-08-11 00:00:00.000,true,false
590,2021-08-12 00:00:00.000,true,false
591,2021-08-13 00:00:00.000,true,false
592,2021-08-14 00:00:00.000,false,false
593,2021-08-15 00:00:00.000,false,false
594,2021-08-16 00:00:00.000,true,false
595,2021-08-17 00:00:00.000,true,false
596,2021-08-18 00:00:00.000,true,false
597,2021-08-19 00:00:00.000,true,false
598,2021-08-20 00:00:00.000,true,false
599,2021-08-21 00:00:00.000,false,false
600,2021-08-22 00:00:00.000,false,false
601,2021-08-23 00:00:00.000,true,false
602,2021-08-24 00:00:00.000,true,false
603,2021-08-25 00:00:00.000,true,false
604,2021-08-26 00:00:00.000,true,false
605,2021-08-27 00:00:00.000,true,false
606,2021-08-28 00:00:00.000,false,false
607,2021-08-29 00:00:00.000,false,false
608,2021-08-30 00:00:00.000,true,false
609,2021-08-31 00:00:00.000,true,false
610,2021-09-01 00:00:00.000,true,false
611,2021-09-02 00:00:00.000,true,false
612,2021-09-03 00:00:00.000,true,false
613,2021-09-04 00:00:00.000,false,false
614,2021-09-05 00:00:00.000,false,false
615,2021-09-06 00:00:00.000,true,false
616,2021-09-07 00:00:00.000,true,false
617,2021-09-08 00:00:00.000,true,false
618,2021-09-09 00:00:00.000,true,false
619,2021-09-10 00:00:00.000,true,false
620,2021-09-11 00:00:00.000,false,false
621,2021-09-12 00:00:00.000,false,false
622,2021-09-13 00:00:00.000,true,false
623,2021-09-14 00:00:00.000,true,false
624,2021-09-15 00:00:00.000,true,false
625,2021-09-16 00:00:00.000,true,false
626,2021-09-17 00:00:00.000,true,false
627,2021-09-18 00:00:00.000,false,false
